id,codigo,sexo,fecha_nacimiento
N001,CM-0001,M,2024-01-15
N002,CM-0002,M,2024-03-10
N003,CM-0003,F,2023-11-20
N004,CM-0004,F,2023-06-05
N005,CM-0005,M,2024-02-01
N006,CM-0006,F,2023-09-12
N007,CM-0007,M,2023-12-25
N008,CM-0008,F,2024-01-30
N009,CM-0009,M,2023-08-18
N010,CM-0010,F,2023-05-22
N011,CM-0011,M,2023-10-03
N012,CM-0012,F,2024-04-14
N013,CM-0013,M,2023-07-27
N014,CM-0014,F,2023-12-09
N015,CM-0015,M,2025-10-28
N016,CM-0016,M,2023-06-13
N017,CM-0017,M,2022-11-14
N018,CM-0018,M,2022-07-20
N019,CM-0019,F,2025-08-05
N020,CM-0020,F,2023-12-08
N021,CM-0021,M,2022-02-24
N022,CM-0022,M,2023-02-13
N023,CM-0023,F,2023-03-24
N024,CM-0024,F,2022-11-19
N025,CM-0025,M,2025-08-09
N026,CM-0026,M,2023-09-16
N027,CM-0027,M,2025-01-12
N028,CM-0028,M,2024-03-16
N029,CM-0029,M,2022-06-29
N030,CM-0030,F,2024-03-11
N031,CM-0031,M,2022-03-22
N032,CM-0032,M,2022-05-29
N033,CM-0033,M,2023-12-17
N034,CM-0034,M,2024-02-07
